2019-11-21 14:26:04 INFO  root:26 - [ HDFS-INGESTION ] : Ingesting file files7 to /user/vihit/output
2019-11-21 14:26:04 INFO  root:26 - [ HDFS-INGESTION ] : Archiving file files84 to /home/vihit/Desktop/IngestionITTests/archive
2019-11-21 14:26:04 INFO  root:26 - [ HDFS-INGESTION ] : Ingesting file files96 to /user/vihit/output
2019-11-21 14:26:04 INFO  root:26 - [ HDFS-INGESTION ] : Archiving file files94 to /home/vihit/Desktop/IngestionITTests/archive
2019-11-21 14:26:04 INFO  root:26 - [ HDFS-INGESTION ] : Ingesting file files9 to /user/vihit/output
2019-11-21 14:26:04 INFO  root:26 - [ HDFS-INGESTION ] : Archiving file files55 to /home/vihit/Desktop/IngestionITTests/archive
2019-11-21 14:26:04 INFO  root:26 - [ HDFS-INGESTION ] : Ingesting file files66 to /user/vihit/output
2019-11-21 14:26:04 INFO  root:26 - [ HDFS-INGESTION ] : Archiving file files81 to /home/vihit/Desktop/IngestionITTests/archive
2019-11-21 14:26:04 INFO  root:26 - [ HDFS-INGESTION ] : Ingesting file files93 to /user/vihit/output
2019-11-21 14:26:04 INFO  root:26 - [ HDFS-INGESTION ] : Archiving file files31 to /home/vihit/Desktop/IngestionITTests/archive
2019-11-21 14:26:04 INFO  root:26 - [ HDFS-INGESTION ] : Ingesting file files33 to /user/vihit/output
2019-11-21 14:26:04 INFO  root:26 - [ HDFS-INGESTION ] : Archiving file files7 to /home/vihit/Desktop/IngestionITTests/archive
2019-11-21 14:26:04 INFO  root:26 - [ HDFS-INGESTION ] : Ingesting file files11 to /user/vihit/output
2019-11-21 14:26:04 INFO  root:26 - [ HDFS-INGESTION ] : Archiving file files18 to /home/vihit/Desktop/IngestionITTests/archive
2019-11-21 14:26:04 INFO  root:26 - [ HDFS-INGESTION ] : Archiving file files49 to /home/vihit/Desktop/IngestionITTests/archive
2019-11-21 14:26:04 INFO  root:26 - [ HDFS-INGESTION ] : Ingesting file files21 to /user/vihit/output
2019-11-21 14:26:04 INFO  root:26 - [ HDFS-INGESTION ] : Ingesting file files56 to /user/vihit/output
2019-11-21 14:26:04 INFO  root:26 - [ HDFS-INGESTION ] : Archiving file files38 to /home/vihit/Desktop/IngestionITTests/archive
